pytanie|odpowiedz
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?|"Dziekanat jest czynny w poniedziałki, wtorki, czwartki oraz piątki w godzinach od 11:00 do 14:00
. W środy dziekanat jest nieczynny
."
Jaki jest maksymalny próg dochodowy uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026?|Stypendium socjalne może otrzymać student, którego dochód na osobę w rodzinie nie przekracza 1908,90 zł netto (próg ten obowiązuje od 1 października 2025 r.).
Jakie wymiary marginesów są zalecane przy redakcji pracy dyplomowej?|"Zgodnie z wytycznymi, zalecane marginesy w pracy dyplomowej to 30 mm dla marginesu wewnętrznego, 20 mm dla marginesu zewnętrznego oraz po 25 mm dla marginesu górnego i dolnego
."
Ile punktów ECTS muszę zdobyć, aby uzyskać rejestrację na drugi semestr na studiach pierwszego stopnia?|Aby uzyskać rejestrację na drugi semestr studiów pierwszego stopnia, należy zdobyć co najmniej 16 punktów ECTS (z 30 możliwych do uzyskania na pierwszym semestrze). Należy pamiętać, że do tej liczby nie wlicza się punktów z praktyk.
Czy student odbywający praktykę poza swoim stałym miejscem zamieszkania może ubiegać się o dofinansowanie?|Tak, student odbywający praktykę (na podstawie porozumienia) poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów. Szczegóły dofinansowania są ustalane indywidualnie w porozumieniu z Dziekanem.
Jakie dokumenty potwierdzające tożsamość student powinien położyć na stole podczas sprawdzianu lub egzaminu?|Zgodnie z procedurą przeprowadzania sprawdzianów, na stole studenta powinna leżeć legitymacja studencka lub dowód osobisty.
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Matematyka popularna""?"|"Za zaliczenie przedmiotu ""Matematyka popularna"" można uzyskać 2 punkty ECTS."
Jaki jest numer telefonu służbowego do prof. dr. hab. inż. Jacka Mańdziuka?|Numer telefonu służbowego do prof. dr. hab. inż. Jacka Mańdziuka to (22) 234 7265.
Jaki jest numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW?|Numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW to 22 234 66 66.
W jaki sposób należy złożyć podanie o wypisanie z przedmiotu obieralnego?|Podanie o wypisanie z przedmiotu obieralnego należy składać w formie elektronicznej za pośrednictwem systemu USOSweb, przechodząc do zakładki: Dla studentów -> Podania ePW.
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Analiza funkcjonalna"" na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?"|"Zgodnie z planem studiów, za zaliczenie przedmiotu ""Analiza funkcjonalna"" na czwartym semestrze student uzyskuje 5 punktów ECTS."
"Jakie przedmioty są wymagane jako wstępne do zapisania się na przedmiot ""Gry kombinatoryczne""?"|"Zgodnie z sylabusem, przedmiotami poprzedzającymi (wymaganiami wstępnymi) dla ""Gier kombinatorycznych"" są: Matematyka dyskretna, Algebra liniowa z geometrią 1-2 oraz Rachunek prawdopodobieństwa."
