query,gold_url,golden_answer_gpt,golden_answer_opus,golden_answer_gemini,skip_reason
jaki jest harmonogram stypendium rektora,https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/,"Harmonogram stypendium rektora na PW jest zwykle ogłaszany na początku roku akademickiego w komunikatach uczelni/USOSweb. Typowo wygląda to tak: złożenie wniosku w USOSweb w wyznaczonym terminie (najczęściej październik), weryfikacja osiągnięć, publikacja decyzji/listy rankingowej, ewentualne odwołanie w terminie wskazanym w decyzji, a następnie wypłata stypendium z wyrównaniem od października.  

Najpewniejsze źródła to aktualności PW, zakładka świadczeń dla studentów oraz dziekanat/sekcja studencka MiNI.","Harmonogram stypendium rektora na MiNI PW zazwyczaj wygląda następująco:

1. **Składanie wniosków** – w październiku (zwykle do połowy/20 października) przez system USOSweb, wraz z dostarczeniem wersji papierowej do dziekanatu.
2. **Weryfikacja i ranking** – komisja stypendialna sporządza listę rankingową na podstawie średniej ocen oraz osiągnięć naukowych, artystycznych lub sportowych.
3. **Decyzje** – wydawane zwykle w listopadzie/grudniu.
4. **Wypłaty** – z wyrównaniem od października, przez 9 miesięcy roku akademickiego (X–VI).

Dokładne terminy na bieżący rok akademicki znajdziesz w komunikacie Prorektora ds. studenckich na stronie P",Harmonogram stypendium rektora na,
jaki jest harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Harmonogram roku akademickiego na PW ustala Rektor i jest publikowany na stronie Politechniki Warszawskiej oraz często linkowany na stronie Wydziału MiNI. Zawiera m.in. terminy rozpoczęcia semestrów, przerw świątecznych, sesji egzaminacyjnych, sesji poprawkowych i dni wolnych od zajęć.  

Najlepiej sprawdzić: **strona PW → Studenci → Organizacja roku akademickiego** oraz komunikaty na stronie **MiNI / dziekanatu**. Terminy rejestracji na przedmioty, podpięć i spraw wydziałowych mogą być dodatkowo ogłaszane osobno przez dziekanat MiNI.","Harmonogram roku akademickiego na MiNI PW jest zgodny z ogólnym harmonogramem Politechniki Warszawskiej, ustalanym corocznie zarządzeniem Rektora. Zazwyczaj wygląda następująco:

- **Semestr zimowy:** od 1 października do połowy lutego (zajęcia ok. 15 tygodni, sesja zimowa zwykle pod koniec stycznia/początku lutego, sesja poprawkowa w lutym)
- **Przerwa świąteczna:** ok. 23 grudnia – 2 stycznia
- **Semestr letni:** od połowy/końca lutego do połowy czerwca (sesja letnia w czerwcu, sesja poprawkowa we wrześniu)
- **Przerwa wakacyjna:** lipiec – wrzesień

Dokładne daty na bie",Harmonogram roku akademickiego na Politechn,
czy x jest dniem wolnym od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Podaj proszę konkretną datę („x”), bo dni wolne zależą od kalendarza roku akademickiego PW oraz ewentualnych decyzji Rektora/Dziekana. Najpewniej sprawdzisz to w „Organizacji roku akademickiego” na stronie PW/MiNI oraz w komunikatach dziekanatu lub USOS. Jeśli to dzień ustawowo wolny od pracy, zajęcia co do zasady się nie odbywają.","Nie podałeś, o jaki dzień (x) pytasz. Aby odpowiedzieć, potrzebuję konkretnej daty lub nazwy dnia.

Ogólnie dni wolne od zajęć na MiNI PW wynikają z:
- **kalendarza akademickiego** ustalanego przez Rektora PW (np. dni rektorskie, przerwy świąteczne, juwenalia),
- **świąt państwowych** (np. 1 i 3 maja, 11 listopada, 6 stycznia),
- **dni dziekańskich** ogłaszanych przez Dziekana wydziału.

Aktualne informacje znajdziesz na stronie [www.mini.pw.edu.pl](https://www.mini.pw.edu.pl) oraz w harmonogramie roku akademickiego na stronie PW. Podaj datę, a spróbuję do","Aby udzielić dokładnej odpowiedzi, musisz podać konkret",
czy data jest dniem wolnym od zajęć dydaktycznych,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Podaj proszę konkretną datę (dzień, miesiąc, rok) — wtedy mogę powiedzieć, czy zwykle jest to dzień wolny od zajęć dydaktycznych.

Najpewniejsze źródła to: kalendarz akademicki PW, komunikaty Rektora oraz ogłoszenia Wydziału MiNI. Warto też sprawdzić, czy nie ma odrabiania zajęć według innego planu dnia.","Aby odpowiedzieć precyzyjnie, potrzebuję konkretnej daty — proszę ją podać.

Ogólnie na MiNI PW dniami wolnymi od zajęć dydaktycznych są:
- święta państwowe i kościelne (np. 1 i 11 listopada, 1 i 3 maja, Boże Narodzenie, Wielkanoc, Boże Ciało),
- przerwy świąteczne (zimowa i wiosenna) wskazane w harmonogramie roku akademickiego,
- dni rektorskie i dziekańskie ogłaszane przez Rektora PW lub Dziekana wydziału.

Aktualny harmonogram roku akademickiego znajdziesz na stronie PW (Zarządzenia Rektora) oraz w komunikatach Dziekana MiNI.","Nie podałeś konkretnej daty, więc nie",
zmiany planu np czwartek to pon,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Jeśli chodzi o zmianę terminu zajęć (np. z czwartku na poniedziałek), zwykle robi to prowadzący w porozumieniu ze studentami i osobą układającą plan.  

Kluczowe kroki:  
1. Starosta grupy zbiera zgodę grupy na proponowany termin.  
2. Prowadzący potwierdza dostępność i salę.  
3. Zmiana powinna zostać zgłoszona do dziekanatu/osoby odpowiedzialnej za plan.  
4. Po zatwierdzeniu sprawdź aktualny plan na stronie MiNI/USOS.  

Jeśli pytasz o jednorazowe odrab","Tak, na MiNI (jak i w całej PW) zdarzają się **dni rektorskie/dziekańskie** lub **przesunięcia zajęć**, np. „w czwartek odbywają się zajęcia z poniedziałku"". Wynika to najczęściej z kalendarza akademickiego, gdy któryś dzień wypada w święto i trzeba odrobić zajęcia z innego dnia tygodnia.

Gdzie sprawdzić:
1. **Kalendarz akademicki** na stronie MiNI (https://ww2.mini.pw.edu.pl) – tam są wypisane konkretne dni z adnotacją „zajęcia wg planu z poniedziałku/wtorku itd.""
2. **USOS / plan zajęć** – czasem zmiana jest już naniesiona.
3. **Ogłoszenia dziekanatu** – w razie","Zmiany dni w planie zajęć (np. """,
jaki jest harmonogram stypendium rektora,https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/,"Harmonogram stypendium rektora na PW jest zwykle ogłaszany co roku na początku roku akademickiego przez uczelnię/odpowiednią komisję stypendialną w USOSweb i na stronach PW. Typowo wygląda to tak: złożenie wniosku w USOSweb w wyznaczonym terminie, dostarczenie/załączenie wymaganych dokumentów potwierdzających osiągnięcia, weryfikacja i tworzenie list rankingowych, a następnie decyzja i wypłata z wyrównaniem od października.  

Najlepiej sprawdzić aktualne daty w USOSweb w zakładce **Dla studentów → Wnioski** oraz na stronie PW dotyczącej pomocy materialnej/stypendiów.","Harmonogram stypendium Rektora na PW (w tym MiNI) zazwyczaj wygląda następująco:

1. **Wnioski** – składane przez USOSweb na początku roku akademickiego, najczęściej od początku października do ok. połowy/końca października (dokładny termin ogłasza Prorektor ds. studenckich).
2. **Weryfikacja** – Dziekanat MiNI sprawdza poprawność wniosków i osiągnięć (oceny, publikacje, sport, działalność naukowa).
3. **Decyzje** – publikacja list rankingowych i decyzji zwykle w listopadzie/grudniu.
4. **Wypłaty** – stypendium przyznawane jest na 9 miesięcy (X–VI), z wyrównaniem za miesiące poprzedzające pierwszą wypłatę.

Dokładne daty na",Harmonogram stypendium rektora na,
jaki jest harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Harmonogram roku akademickiego na PW jest ustalany centralnie w zarządzeniu Rektora i obejmuje m.in. terminy semestrów, przerw świątecznych, sesji egzaminacyjnych oraz dni wolnych od zajęć.  

Najlepiej sprawdzić go na stronie Politechniki Warszawskiej: **Studenci → Organizacja roku akademickiego** albo w aktualnościach/komunikatach PW. Dla zajęć na MiNI warto dodatkowo sprawdzić **plan zajęć w systemie USOS** oraz komunikaty dziekanatu, bo mogą zawierać informacje wydziałowe.","Harmonogram roku akademickiego na MiNI PW jest zgodny z ogólnouczelnianym harmonogramem ustalanym przez Rektora PW. W typowym układzie wygląda następująco:

- **Semestr zimowy:** ok. 1 października – połowa lutego (zajęcia do końca stycznia, sesja egzaminacyjna ok. 1–2 tygodni, sesja poprawkowa)
- **Przerwa świąteczna:** ok. 23 grudnia – 1 stycznia
- **Semestr letni:** ok. 20 lutego – koniec czerwca (sesja czerwiec, sesja poprawkowa wrzesień)
- **Przerwa wielkanocna:** kilka dni wokół świąt
- **Wakacje:** lipiec – wrzesień (z sesją poprawkową we wrześniu)

D",Harmonogram roku akademickiego na Politechn,
czy x jest dniem wolnym od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Nie mogę tego potwierdzić bez konkretnej daty — podaj proszę, jaki dzień masz na myśli.  
Dni wolne od zajęć na MiNI PW wynikają zwykle z kalendarza roku akademickiego PW, zarządzeń Rektora oraz ewentualnych decyzji dziekana.  
Najlepiej sprawdzić aktualny kalendarz akademicki PW i komunikaty na stronie wydziału MiNI lub w USOS.","Aby odpowiedzieć, potrzebuję konkretnej daty lub nazwy dnia – proszę doprecyzować, o który dzień pytasz.

Ogólnie, dni wolne od zajęć na MiNI PW wynikają z:
- **Kalendarza akademickiego** publikowanego co roku przez Rektora PW (np. dni rektorskie, przerwy świąteczne, juwenalia),
- **Świąt państwowych i kościelnych** (np. 1 i 11 listopada, 3 maja, Boże Narodzenie, Wielkanoc),
- **Decyzji Dziekana** dotyczących konkretnego wydziału.

Aktualny kalendarz znajdziesz na stronie [www.pw.edu.pl](https://www.pw.edu.pl) oraz [www.mini.pw.edu.pl](https://www.mini.","Aby udzielić dokładnej odpowiedzi, musisz podać konkret",
czy data jest dniem wolnym od zajęć dydaktycznych,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Podaj proszę konkretną datę, którą chcesz sprawdzić.  
Najpewniej należy ją zweryfikować w **organizacji roku akademickiego PW** oraz w komunikatach Wydziału MiNI, bo dni wolne od zajęć mogą wynikać z decyzji Rektora, świąt ustawowych albo zmian w planie zajęć.  
Jeśli chodzi o pojedyncze zajęcia, warto też sprawdzić ogłoszenia prowadzącego w USOS/Moodle.","Aby odpowiedzieć precyzyjnie, potrzebuję konkretnej daty — proszę ją podać.

Ogólnie na PW dniami wolnymi od zajęć dydaktycznych są m.in.:
- święta państwowe i kościelne (np. 1 i 11 listopada, 1 i 3 maja, Boże Ciało, Wielkanoc, Boże Narodzenie),
- przerwy świąteczne (zimowa i wiosenna) oraz sesje egzaminacyjne,
- Juwenalia oraz dni rektorskie/dziekańskie,
- 1 października – inauguracja roku akademickiego.

Aktualny harmonogram roku akademickiego znajdziesz w Zarządzeniu Rektora PW oraz na stronie Wydziału MiNI w zakładce „Kalendarz akademicki”.",Nie podałeś konkretnej daty w swoim pyt,
zmiany planu np czwartek to pon,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Jeśli w harmonogramie jest zapis typu „czwartek odbywa się według planu poniedziałkowego”, to tego dnia realizujesz zajęcia przypisane normalnie do poniedziałku — w poniedziałkowych godzinach i salach. Zajęcia czwartkowe z tego dnia nie odbywają się, chyba że prowadzący ustali inaczej.

Warto sprawdzić:
1. harmonogram roku akademickiego PW/MiNI,
2. plan w USOS lub na stronie planów,
3. komunikaty prowadzących, bo mogą być indywidualne zmiany.","Tak, na Politechnice Warszawskiej (w tym na MiNI) zdarzają się tzw. **dni rektorskie** lub **przeniesienia zajęć**, gdzie np. czwartek realizowany jest według planu poniedziałkowego. Wynika to z konieczności wyrównania liczby zajęć w semestrze, gdy poniedziałki wypadają na święta.

Aktualne informacje znajdziesz w:
- **Zarządzeniu Rektora PW** dotyczącym organizacji roku akademickiego,
- **kalendarzu akademickim** na stronie PW (pw.edu.pl),
- ogłoszeniach dziekanatu MiNI lub w systemie USOS.

Warto sprawdzać te źródła na początku semestru, bo terminy są ogłaszane z wyprzedzeniem.",Zmiany dni tygodnia w planie zajęć,
