pytanie,odpowiedz_wygenerowana
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Dziekanat Wydziału Matematyki i Nauk Informacyjnych jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach od 11:00 do 14:00. W środy dziekanat jest nieczynny."
Jaki jest maksymalny próg dochodowy uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026?,"2026"" -> ""roku akademickim 2025/2026"" is standard. Let's write ""w roku akademickim 2025/2026"" or ""w roku akademickim dwa tysiące dwadzieścia pięć na dwa tysiące dwadzieścia sześć""? No, that'"
Jakie wymiary marginesów są zalecane przy redakcji pracy dyplomowej?,"Przy redakcji pracy dyplomowej zalecane wymiary marginesów wynoszą: margines wewnętrzny 30 mm, margines zewnętrzny 20 mm oraz margines górny i dolny 25 mm."
"Ile punktów ECTS muszę zdobyć, aby uzyskać rejestrację na drugi semestr na studiach pierwszego stopnia?","Aby uzyskać rejestrację na drugi semestr na studiach pierwszego stopnia na wszystkich kierunkach, należy zdobyć co najmniej 16 punktów ECTS do końca zimowej lub jesiennej sesji egzaminacyjnej."
Czy student odbywający praktykę poza swoim stałym miejscem zamieszkania może ubiegać się o dofinansowanie?,"Tak, student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania oraz dojazdów."
Jakie dokumenty potwierdzające tożsamość student powinien położyć na stole podczas sprawdzianu lub egzaminu?,Podczas sprawdzianu lub egzaminu na stole studenta powinna leżeć osobista legitymacja studencka lub dowód osobisty.
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Matematyka popularna""?","Za zaliczenie przedmiotu Matematyka popularna można uzyskać 2 punkty ECTS, przy czym w dostępnych źródłach pojawia się również informacja o wymiarze 4 punktów ECTS."
Jaki jest numer telefonu służbowego do prof. dr. hab. inż. Jacka Mańdziuka?,Służbowy numer telefonu do prof. dr hab. inż. Jacka Mańdziuka to (22) 234 7265.
Jaki jest numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW?,Numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej Politechniki Warszawskiej to 22 234 66 66. W razie konieczności interwencji można również dzwonić pod numer alarmowy 6666.
W jaki sposób należy złożyć podanie o wypisanie z przedmiotu obieralnego?,"Podanie o wypisanie z przedmiotu obieralnego należy złożyć drogą elektroniczną za pośrednictwem systemu USOSweb, w którym formularz tego podania jest udostępniony."
