,PYTANIE,strona
0,jaki jest harmonogram stypendium rektora,https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/
1,jaki jest harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
2,czy x jest dniem wolnym od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
3,czy data jest dniem wolnym od zajęć dydaktycznych,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
4,zmiany planu np czwartek to pon,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
5,czy mam wolne danego dnia,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
6,harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
7,kiedy mamy wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
8,gdzie mogę znaleźć harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
9,jak wygląda kalendarz akademicki w tym semestrze,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
10,kiedy jest najbliższy dodatkowy dzień wolny,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
11,czy dzień x jest dniem wolnym od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
12,jaki jest harmonogram roku kiedy środa jest piątkiem itd,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
13,kiedy zaczyna się przerwa świąteczna,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
14,zmiany planu zajęć w najbliższym czasie,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
18,gdzie znajdę podanie o zmianę grupy/zapis na przedmiot,https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/
19,podanie o zapis na przedmiot,https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/
21,jaki jest plan studiów magisterskich na kierunku informatyka i systemy informacyjne,https://ww2.mini.pw.edu.pl/studia/magisterskie/informatyka/
22,jak wypadają dni rektorskie w tym roku akademickim,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
23,jaki jest plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
24,jakie dni są podmienione na inne dni tygodnia w tym roku akademickim,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
28,kiedy zaczyna się sesja,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
30,parking na mini,https://ww2.mini.pw.edu.pl/wp-content/uploads/parking_zasady_2013_05_20.pdf
34,ile ects aby zdać semestr,https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf
38,godziny otwarcia,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
39,dni wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
44,jaki jest kontakt do poszczególnych osób w dziekanacie,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
48,jakie są godziny otwarcia dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
49,jaki jest plan sesji w tym semestrze,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
59,w jakie dni danego semestru wypadają dni rektorskie,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
61,harmonogram roku akademickiego kiedy sa dni wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
63,o której prodziekan do spraw nauczania ma godziny przyjęć interesantów,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
64,kiedy w tym roku akademickim występuje wymiana jednego dnia tygodnia na inny,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
67,kiedy mogę przyjść do dziekanatu i zadać pytanie lub dostać dokument od ręki np zaświadczenie o byciu studentem,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
69,w jakich godzinach jest otwarty dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
75,jak wygląda plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
84,kiedy wypadają w semestrze dni wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
86,jaki jest plan sesji dla informatyki i systemów informacyjnych,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
89,jak wyglada plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
90,które dni w bieżącym roku akademickim są wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
91,jakie dni są wolne podczas roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
94,kiedy są egzaminy w sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
99,w jakich godzinach i dniach otwarty jesf dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
