pytanie|odpowiedz|zrodla|pliki|liczba_plikow
Planuję napisać w tym roku swój pierwszy artykuł badawczy i zależy mi na udostępnieniu go w otwartym dostępie (Open Access) oraz zdeponowaniu gdzieś wyników moich pomiarów. Do jakiej ogólnouczelnianej jednostki powinienem się zgłosić, aby uzyskać wsparcie i dowiedzieć się, jak sfinansować taką publikację?|Wsparcie w zakresie otwartej nauki zapewnia Biblioteka Główna, która formalnie posiada status ogólnouczelnianej jednostki organizacyjnej. Jej pracownicy oferują m.in. doradztwo w zakresie doboru źródeł do publikowania w modelu Open Access, pomoc w programach finansujących (np. Wirtualna Biblioteka Nauki) , a także przeprowadzają indywidualne konsultacje dotyczące poprawności Planów Zarządzania Danymi. Dodatkowo Uczelnia posiada dedykowane Repozytorium danych badawczych PW (część Bazy Wiedzy PW), które właśnie Biblioteka Główna utworzyła w celu ułatwienia bezpiecznego deponowania, archiwizacji i otwartego udostępniania takich danych.|Regulamin organizacyjny Politechniki Warszawskiej; Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024|d306a4288f0943c31b5e9cd8fcd33f73.pdf; ee0f54fc508ca6edb94560f70b4dcd8b.pdf|wiele plików
Jako bardzo aktywny student dostałem propozycję dołączenia do zespołu badawczego i pracy na ułamek etatu w projekcie na uczelni. Będę korzystał z uczelnianej poczty e-mail i służbowego komputera. Czy Uczelnia może mi wypłacać dodatkowe pieniądze za sam udział w tym projekcie i czy pracodawca będzie miał prawo podglądać, jak korzystam ze sprzętu?|Tak, z tytułu dodatkowej pracy w ramach projektów pracownicy otrzymują tzw. dodatek za pracę w projektach (może on zostać przyznany w formie stawki godzinowej lub określonej kwoty ryczałtowej), który jest wypłacany zgodnie z budżetem samego projektu. Jeśli natomiast chodzi o służbowy komputer i pocztę, regulamin pracy jasno precyzuje, że Uczelnia ma prawo monitorować sposób korzystania z takich urządzeń. Warunkiem prowadzenia takiego monitoringu poczty elektronicznej lub komputera jest uprzednie poinformowanie o tym pracownika, jednak dotyczy to ściśle narzędzi stanowiących mienie pracodawcy, w tym poczty zlokalizowanej w oficjalnej domenie pw.edu.pl.|Regulamin wynagradzania pracowników Politechniki Warszawskiej; Regulamin pracy Politechniki Warszawskiej|b316729d09938e94c7eb5528b0e0744d.pdf; a3de1af7fada945beb87a825dbb0c262.pdf|wiele plików
Chciałbym wyjechać na studia w ramach Erasmusa, ale wciąż mam wiele obaw organizacyjnych i chętnie porozmawiałbym z kimś, kto już taki wyjazd przeżył. Czy na PW istnieje jakiś program wsparcia między studentami? Ponadto planuję, że przy okazji tego wyjazdu moje koło naukowe nawiąże współpracę międzynarodową – gdzie mogę sprawdzić sprawozdania z tego, jak inne koła finansowały z budżetu uczelni takie inicjatywy?|Tak, Uczelnia wspiera sieć kontaktów między studentami poprzez program ENHANCE Buddies. W jego ramach studenci, którzy w przeszłości brali już udział w międzynarodowej mobilności, stają się ambasadorami i mogą bezpośrednio dzielić się z Tobą swoimi doświadczeniami, tworząc sieć wzajemnego wsparcia. Jeśli chcesz przeanalizować finanse innych organizacji studenckich, to jako obywatel i student masz łatwy dostęp do takich danych. Sprawozdania z rozdziału środków finansowych dla kół naukowych oraz ich rozliczenia stanowią informację publiczną i powinny znajdować się w ogólnodostępnym Biuletynie Informacji Publicznej (BIP PW). Za dostarczenie tych sprawozdań do BIP odpowiedzialny jest Przewodniczący Samorządu Studentów PW.|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024; Regulamin umieszczania informacji w Biuletynie Informacji Publicznej (BIP) PW|ee0f54fc508ca6edb94560f70b4dcd8b.pdf; 390bf595ba50c2b63d98e7056c54b61f.pdf|wiele plików
Trenuję od niedawna judo. Widziałem, że Uczelnia posiada taką sekcję, w której z chęcią poćwiczę. Czy jeśli wystartuję z ramienia AZS PW w Akademickich Mistrzostwach Polski i zajmę dobre miejsce, otrzymam za to dodatkowe punkty, mogące zagwarantować mi stypendium? Oraz czy jako student PW mogę wyrobić sobie w ogóle kartę Multisport?|Tak, członkostwo w Akademickim Związku Sportowym (AZS) to doskonała droga do zdobycia osiągnięć branych pod uwagę przy pomocy materialnej. Udział w sekcji i zajęcie punktowanego miejsca (lub nawet samo uczestnictwo) w zawodach rangi Mistrzostw Polski, w tym zwłaszcza Akademickich Mistrzostw Polski, pozwala na uzyskanie od 3 do 10 punktów w rankingu do stypendium Rektora w części za osiągnięcia sportowe (skala zależy m.in. od tego, czy to kategoria indywidualna czy drużynowa i które zająłeś miejsce). Dodatkowo studenci reprezentujący uczelnię w AMP z dobrym wynikiem mogą zyskać jeszcze drobne punkty „premiowe” do rankingu. A co do samej aktywności poza uczelnią: tak, jako student masz prawo skorzystać z pakietu Multisport (dostępnego w kilku wariantach m.in. plus czy light), który Uczelnia udostępnia swojej społeczności akademickiej.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026; Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024|regulamin_swiadczen_2025_2026.pdf; ee0f54fc508ca6edb94560f70b4dcd8b.pdf|wiele plików
Złożyłem wniosek o udostępnienie informacji publicznej. W jakim czasie Uczelnia ma obowiązek udzielić mi odpowiedzi?|Uczelnia przekazuje informację niezwłocznie, nie później jednak niż w terminie 14 dni od dnia złożenia wniosku. Jeśli ze względu na określone okoliczności informacja nie może być udostępniona w tym czasie, Biuro Rektora powiadomi Cię w tym terminie o powodach opóźnienia i wyznaczy nowy termin jej udostępnienia, który nie może być dłuższy niż 2 miesiące od dnia złożenia pierwotnego wniosku.|Regulamin umieszczania informacji w Biuletynie Informacji Publicznej (BIP) PW|390bf595ba50c2b63d98e7056c54b61f.pdf|jeden plik
Jestem pracownicą uczelni i spodziewam się dziecka. Czy w związku z tym chronią mnie jakieś szczególne przepisy dotyczące uciążliwości i czasu pracy?|Tak, regulamin pracy gwarantuje szczególne zasady ochrony. Pracownic w ciąży nie wolno zatrudniać w godzinach nadliczbowych ani w porze nocnej. Ponadto, bez Twojej zgody pracodawca nie może delegować Cię poza stałe miejsce pracy. Przysługuje Ci również bezwzględny zakaz wykonywania prac związanych z nadmiernym wysiłkiem fizycznym (np. ręczne przenoszenie pod górę przedmiotów o masie przekraczającej 1 kg przy pracy dorywczej).|Regulamin pracy Politechniki Warszawskiej|a3de1af7fada945beb87a825dbb0c262.pdf|jeden plik
Zdobyłem wicemistrzostwo (miejsce medalowe) na Mistrzostwach Polski w swojej dyscyplinie. Czy mogę za to osiągnięcie ubiegać się o stypendium Rektora i ile punktów mogę za to zdobyć w rankingu?|Tak, wysokie wyniki sportowe we współzawodnictwie co najmniej na poziomie krajowym uprawniają do ubiegania się o stypendium Rektora w części za osiągnięcia sportowe. Za zajęcie miejsca medalowego w Mistrzostwach Polski (lub w zawodach tej rangi dla osób niepełnosprawnych) w rankingu stypendialnym możesz uzyskać 9 punktów.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
"Jako nauczyciel akademicki otrzymałem w tym roku wyróżnienie ""Złota Kreda"" z rąk samorządu studenckiego za wybitne prowadzenie zajęć. Czy w związku z tym Uczelnia przewiduje przyznanie mi dodatkowej nagrody finansowej?"|"Tak, wyróżniające prowadzenie zajęć dydaktycznych, potwierdzone plebiscytem ""Złota Kreda"" (na podstawie listy laureatów przekazanej do Zespołu ds. Nauki i potwierdzonej przez Samorząd Studentów PW), jest oficjalną podstawą do przyznania Nagrody Rektora dla nauczycieli akademickich w kategorii dydaktycznej. Wniosek o przyznanie takiej nagrody składa kierownik podstawowej lub ogólnouczelnianej jednostki organizacyjnej."|Regulamin wynagradzania pracowników Politechniki Warszawskiej|b316729d09938e94c7eb5528b0e0744d.pdf|jeden plik
Od lat pracuję zawodowo w branży IT. Czy uczelnia może formalnie uznać moje bogate doświadczenie zawodowe i zaliczyć mi na tej podstawie jeden z przedmiotów w programie moich studiów?|Tak, masz prawo wystąpić z wnioskiem do dziekana o uznanie osiągnięcia efektów uczenia się uzyskanych w wyniku działalności zawodowej, naukowej lub innej. Twój wniosek musi rzetelnie dokumentować, że nabyte w pracy efekty uczenia się są zbieżne z efektami wymaganymi dla konkretnego przedmiotu w realizowanym przez Ciebie programie studiów. Wniosek taki podlega zaopiniowaniu przez wyznaczonego nauczyciela akademickiego, a ostateczny tryb, sposób dokumentowania i limity punktów w tego typu przypadkach określa dziekan.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Nie zaliczyłem jednego z przedmiotów obowiązkowych i muszę go powtarzać. Czy pomimo wciąż wysokiej średniej ocen nadal mam szansę na stypendium Rektora w nowym semestrze i czy za samo powtarzanie przedmiotu na darmowych studiach stacjonarnych będę musiał zapłacić?|Niestety, niezaliczenie przedmiotu dyskwalifikuje Cię z możliwości otrzymania stypendium Rektora za wyniki w nauce. Zgodnie z regulaminem świadczeń, punkty do stypendium może otrzymać wyłącznie student, który od początku studiów zaliczył wszystkie przedmioty warunkujące pełną rejestrację i uzyskał przewidzianą programem pulę punktów ECTS. Ponadto, ponowna realizacja (powtarzanie) zajęć z powodu niezadowalających wyników w nauce wiąże się z koniecznością wniesienia opłaty, do której pobierania uczelnia ma prawo również w przypadku studiów stacjonarnych.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026; Regulamin studiów w Politechnice Warszawskiej|regulamin_swiadczen_2025_2026.pdf; regulamin_studiow.pdf|wiele plików
