pytanie,odpowiedz_wygenerowana,zwrocone_linki
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Dziekanat jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach 11:00-14:00."
Jaki jest maksymalny próg dochodowy uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026?,"Maksymalny próg dochodowy na osobę w rodzinie studenta, uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026, wynosi 1 908,90 zł."
Jakie wymiary marginesów są zalecane przy redakcji pracy dyplomowej?,"Zalecane marginesy przy redakcji pracy dyplomowej to 30 mm dla marginesu wewnętrznego, 20 mm dla marginesu zewnętrznego oraz 25 mm dla marginesów górnego i dolnego."
"Ile punktów ECTS muszę zdobyć, aby uzyskać rejestrację na drugi semestr na studiach pierwszego stopnia?","Aby uzyskać rejestrację na semestr 2 na studiach pierwszego stopnia, należy uzyskać co najmniej 16 ECTS."
Czy student odbywający praktykę poza swoim stałym miejscem zamieszkania może ubiegać się o dofinansowanie?,Student odbywający praktykę poza stałym miejscem zamieszkania oraz siedzibą uczelni może ubiegać się o dofinansowanie poniesionych kosztów zakwaterowania i dojazdów.
Jakie dokumenty potwierdzające tożsamość student powinien położyć na stole podczas sprawdzianu lub egzaminu?,Na stole studenta powinna leżeć osobista legitymacja studencka lub dowód osobisty.
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Matematyka popularna""?","W dostępnych zasobach znajdują się sprzeczne informacje dotyczące liczby punktów ECTS dla przedmiotu Matematyka popularna, które wynoszą odpowiednio 2 punkty ECTS oraz 4 punkty ECTS."
Jaki jest numer telefonu służbowego do prof. dr. hab. inż. Jacka Mańdziuka?,Numer telefonu służbowego do prof. dr hab. inż. Jacka Mańdziuka to (22)234 7265.
Jaki jest numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW?,Numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW to 22 234 66 66. Alternatywnie można skorzystać z numeru alarmowego 6666.
W jaki sposób należy złożyć podanie o wypisanie z przedmiotu obieralnego?,Podanie o wypisanie z przedmiotu obieralnego jest dostępne w systemie USOSweb.
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Analiza funkcjonalna"" na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?",Za zaliczenie przedmiotu Analiza funkcjonalna na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych można uzyskać 5 punktów ECTS.
"Jakie przedmioty są wymagane jako wstępne do zapisania się na przedmiot ""Gry kombinatoryczne""?","Wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
Czego dotyczy efekt uczenia się o symbolu MAD2SMAD_U01 na specjalności Statystyka matematyczna i analiza danych?,Nie mam tej informacji w dostępnych zasobach.
Kto może zgłosić pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,Pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych może zgłosić wyłącznie autor pracy magisterskiej za zgodą promotora.
