pytanie,odpowiedz_wygenerowana
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Sorry, I encountered an error while generating the response."
Jaki jest maksymalny próg dochodowy uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026?,"Sorry, I encountered an error while generating the response."
Jakie wymiary marginesów są zalecane przy redakcji pracy dyplomowej?,"Sorry, I encountered an error while generating the response."
"Ile punktów ECTS muszę zdobyć, aby uzyskać rejestrację na drugi semestr na studiach pierwszego stopnia?","Sorry, I encountered an error while generating the response."
Czy student odbywający praktykę poza swoim stałym miejscem zamieszkania może ubiegać się o dofinansowanie?,"Sorry, I encountered an error while generating the response."
Jakie dokumenty potwierdzające tożsamość student powinien położyć na stole podczas sprawdzianu lub egzaminu?,"Sorry, I encountered an error while generating the response."
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Matematyka popularna""?","Sorry, I encountered an error while generating the response."
Jaki jest numer telefonu służbowego do prof. dr. hab. inż. Jacka Mańdziuka?,"Sorry, I encountered an error while generating the response."
Jaki jest numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW?,"Sorry, I encountered an error while generating the response."
W jaki sposób należy złożyć podanie o wypisanie z przedmiotu obieralnego?,"Sorry, I encountered an error while generating the response."
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Analiza funkcjonalna"" na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?","Sorry, I encountered an error while generating the response."
"Jakie przedmioty są wymagane jako wstępne do zapisania się na przedmiot ""Gry kombinatoryczne""?","Sorry, I encountered an error while generating the response."
Czego dotyczy efekt uczenia się o symbolu MAD2SMAD_U01 na specjalności Statystyka matematyczna i analiza danych?,"Sorry, I encountered an error while generating the response."
Kto może zgłosić pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,"Sorry, I encountered an error while generating the response."
"Ile punktów można maksymalnie zdobyć z przedmiotu ""Systemy wspomagania decyzji"" i ile wynosi próg punktowy niezbędny do jego zaliczenia?","Sorry, I encountered an error while generating the response."
Jakie wsparcie finansowe otrzymuje student uczestniczący w projekcie „Szkoła Orłów na PW”?,"Sorry, I encountered an error while generating the response."
Pod jakim numerem telefonu studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów?,"Sorry, I encountered an error while generating the response."
"Na którym semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych realizowany jest przedmiot ""Wstęp do uczenia maszynowego""?","Sorry, I encountered an error while generating the response."
Do kiedy należy składać wnioski o stypendium Ministra na rok akademicki 2025/2026?,"Sorry, I encountered an error while generating the response."
Jakie funkcje uczelniane na Politechnice Warszawskiej pełni dr inż. Krzysztof Kaczmarski?,"Sorry, I encountered an error while generating the response."
