Sygnatura czasowa,Czy wyrażasz zgodę na udział w badaniu na warunkach opisanych powyżej?  ,Czy chcesz wziąć udział w losowaniu?,Podaj swój pseudonim.,Na pytania z jakich obszarów najczęściej szukasz odpowiedzi?,"(1/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz.","(2/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz.","(3/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz."
2025-10-28 01:21:49,Tak,Nie,,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia",Jaki jest harmonogram stypendium rektora?,Jaki jest harmonogram roku akademickiego?,Plan studiów
2025-10-28 01:24:44,Tak,Tak,Adelard,"Plan zajęć, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych",Jakie są przedmioty obieralne pasujące mi do planu,w jakich dniach i o której mam egzaminy,jak wygląda plan na przyszły semestr 
2025-10-28 01:28:23,Tak,Tak,PioRow,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Obsługa drukarki wydziałowej",Jakie przedmioty realizowane sa na danym kierunku w danym semestrze,Które dni w kalenadrzu akademickim mają zmieniony plan,Jakie zajęcia odbywaja sie w danej sali w danym terminie
2025-10-28 01:29:21,Tak,Tak,Adrian,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Oferta przedmiotów obieralnych, Praktyki studenckie",Jakie przedmioty są w danym semestrze,Kiedy są dni wolne w ciągu roku akademickiego,W jakich godzinach otwarty jest dziekanat
2025-10-28 01:32:42,Tak,Tak,xeligga,"Godziny otwarcia dziekanatu, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych, Podania o zmianę grupy, zapis na przedmiot, karte przebiegu studiów, rozliczenia płatności z domami studenckimi",Gdzie znajdę podanie o zmianę grupy/zapis na przedmiot?,Gdzie znajdę listę dostępnych przedmiotów obieralnych w najbliższej turze zapisów?,Co oznaczają podpięcia i czy/kiedy muszę podpinać przedmioty?
2025-10-28 01:37:52,Tak,Nie,,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Wymiany międzynarodowe, Praktyki studenckie",Jaki jest plan studiów dla kierunku [wpsisz dowolny kierunek na MiNI],Jakie dokumenty potrzebne są do zaliczenia praktyk studenckich,Jakie są opcje i warunki wyjazdu na Erasmusa na wydziale
2025-10-28 01:38:32,Tak,Tak,antly,"Godziny otwarcia dziekanatu, Plan studiów, Plan sesji, Dziekani (np. kto jest prodziekanem ds. ...)",Jaki jest plan studiów magisterskich na kierunku Informatyka i Systemy Informacyjne,Jakie są zasady zaliczania przedmiotów według regulaminu studiów pw?,Jaki jest adres mailowy do prodziekana ds. Nauczania
2025-10-28 06:39:27,Tak,Tak,KrzysztofS,"Godziny otwarcia dziekanatu, Plan studiów, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne",Jak wypadają dni rektorskie w tym roku akademickim?,Jak wyglada plan studiów mojego kierunku?,W jakich godzinach otwarty jest dziekanat?
2025-10-28 07:03:17,Tak,Tak,Olly,"Godziny otwarcia dziekanatu, Harmonogram roku akademickiego, Plan sesji, Dziekani (np. kto jest prodziekanem ds. ...), Praktyki studenckie",Jaki jest plan sesji?,Jakie są wymagania odnośnie pisania inżynierki?,Kto jest dziekanem od ... ?
2025-10-28 07:07:33,Tak,Tak,Janeczenko ,"Plan studiów, Harmonogram roku akademickiego, Plan sesji",Jakie dni są podmienione na inne dni tygodnia w tym roku akademickim? ,Kiedy i gdzie jest pierwszy termin egzaminu pisemnego ze statystyki?,Ile ECTS muszę wyrobić w ramach przedmiotów obieralnych na 1 semestrze Data Science? 
