pytanie,odpowiedz_wygenerowana
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Dziekanat Wydziału Matematyki i Nauk Informacyjnych jest otwarty w poniedziałki, wtorki, czwartki i piątki w godzinach 11:00–14:00."
Jaki jest maksymalny próg dochodowy uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026?,"Maksymalny próg dochodowy uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026 wynosi 1 908,90 zł na osobę w rodzinie."
Jakie wymiary marginesów są zalecane przy redakcji pracy dyplomowej?,"Zalecane marginesy przy redakcji pracy dyplomowej to: wewnętrzny 30 mm, zewnętrzny 20 mm, górny i dolny po 25 mm."
"Ile punktów ECTS muszę zdobyć, aby uzyskać rejestrację na drugi semestr na studiach pierwszego stopnia?","Aby uzyskać rejestrację na drugi semestr studiów pierwszego stopnia, musisz zdobyć co najmniej 16 ECTS."
Czy student odbywający praktykę poza swoim stałym miejscem zamieszkania może ubiegać się o dofinansowanie?,"Tak, student odbywający praktykę poza swoim stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania oraz dojazdów."
Jakie dokumenty potwierdzające tożsamość student powinien położyć na stole podczas sprawdzianu lub egzaminu?,"Student powinien położyć na stole następujące dokumenty potwierdzające tożsamość: legitymację studencką (dowód osobisty lub paszport w przypadku braku legitymacji) oraz, jeżeli jest wymagana, kartę identyfikacyjną wydziałową (np. kartę dostępu do systemu identyfikacji i autoryzacji studentów). Wszystkie dokumenty muszą być aktualne i czytelne. Nie należy ukrywać żadnych elementów dokumentu przed personelem egzaminacyjnym."
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Matematyka popularna""?",Za zaliczenie przedmiotu „Matematyka popularna” przyznawane jest 4 punkty ECTS.
Jaki jest numer telefonu służbowego do prof. dr. hab. inż. Jacka Mańdziuka?,Numer służbowy prof. dr hab. inż. Jacka Mańdziuka to (22) 234 7265.
Jaki jest numer telefonu do Całodobowego Centrum Kierowania Straży Akademickiej PW?,22 234 66 66.
W jaki sposób należy złożyć podanie o wypisanie z przedmiotu obieralnego?,"Podanie o wypisanie z przedmiotu obieralnego składa się w systemie USOSweb. Należy zalogować się na swoje konto USOS, przejść do zakładki „Rejestracja” lub „Moje przedmioty”, wybrać odpowiedni przedmiot z listy przedmiotów obieralnych i kliknąć opcję „Wypisz się”. Następnie w formularzu podać przyczynę wypisania (jeśli jest wymagana) i potwierdzić zgłoszenie. Po zatwierdzeniu przez prowadzącego lub dziekanat podanie zostanie rozpatrzone, a status wypisania pojawi się w systemie. Jeśli pojawią się problemy techniczne, warto skontaktować się z obsługą USOSweb lub dziekanatem w godzinach otwarcia (poniedziałek, wtorek, czwartek, piątek 11:00‑14:00)."
